"id","created_at","name","has_test","alternate_url"
"126209623","2025-10-06T18:43:16+0300","-",true,"https://hh.ru/vacancy/126209623"
"126311801","2025-10-08T14:46:36+0300","-",false,"https://hh.ru/vacancy/126311801"
"125531958","2025-10-10T09:05:27+0300","-",false,"https://hh.ru/vacancy/125531958"
"117558942","2025-10-19T12:25:06+0300","Junior",false,"https://hh.ru/vacancy/117558942"
"126734566","2025-10-20T14:41:45+0300","Middle",false,"https://hh.ru/vacancy/126734566"
"126813281","2025-10-22T11:06:54+0300","Junior",false,"https://hh.ru/vacancy/126813281"
"126895475","2025-10-24T08:26:34+0300","Junior",false,"https://hh.ru/vacancy/126895475"
"126911360","2025-10-24T12:57:44+0300","Senior",false,"https://hh.ru/vacancy/126911360"
"126984712","2025-10-27T12:41:12+0300","-",false,"https://hh.ru/vacancy/126984712"
"127060619","2025-10-28T13:31:46+0300","Junior",false,"https://hh.ru/vacancy/127060619"
"127063385","2025-10-28T14:15:12+0300","Junior",false,"https://hh.ru/vacancy/127063385"
"127139735","2025-10-30T12:17:23+0300","Junior",false,"https://hh.ru/vacancy/127139735"
"127169805","2025-10-31T09:49:45+0300","-",false,"https://hh.ru/vacancy/127169805"
"127202494","2025-11-01T09:09:01+0300","-",false,"https://hh.ru/vacancy/127202494"
"126718438","2025-11-01T11:21:52+0300","Junior",false,"https://hh.ru/vacancy/126718438"
"127210461","2025-11-01T11:50:36+0300","Junior",true,"https://hh.ru/vacancy/127210461"
"127117611","2025-11-01T16:55:15+0300","-",false,"https://hh.ru/vacancy/127117611"
"127233452","2025-11-01T17:12:24+0300","-",false,"https://hh.ru/vacancy/127233452"
"127126982","2025-11-02T07:57:30+0300","-",false,"https://hh.ru/vacancy/127126982"
"127255172","2025-11-03T16:04:29+0300","-",false,"https://hh.ru/vacancy/127255172"
